id,domain,heard,correct,notes
361,Tools,karndi de,करंडी दे,migrated_from_domain_dictionary
362,Tools,garmala la,गुरमाला ला,migrated_from_domain_dictionary
363,Tools,fanti marna,फंटी मारना,migrated_from_domain_dictionary
364,Tools,shual se check,साहुल से चेक,migrated_from_domain_dictionary
365,Tools,sut dori,सूत डोरी,migrated_from_domain_dictionary
366,Tools,inchy tep,इंची टेप,migrated_from_domain_dictionary
367,Tools,guniya lo,गुनिया लो,migrated_from_domain_dictionary
368,Tools,watar leval pip,वाटर लेवल पाइप,migrated_from_domain_dictionary
369,Tools,kater machine,कटर मशीन,migrated_from_domain_dictionary
370,Tools,baibrater,वाइब्रेटर,migrated_from_domain_dictionary
371,Tools,panch masin,पंच मशीन,migrated_from_domain_dictionary
372,Tools,elan ki,एलेन की,migrated_from_domain_dictionary
373,Tools,reg mal,रेगमाल,migrated_from_domain_dictionary
374,Tools,patty bleyad,पुट्टी ब्लेड,migrated_from_domain_dictionary
375,Tools,tflon tap,टेफ़लोन टेप,migrated_from_domain_dictionary
376,Tools,masaking tep,मास्किंग टेप,migrated_from_domain_dictionary
377,Tools,fawicol marine,फेविकोल मरीन,migrated_from_domain_dictionary
378,Tools,araldite,एराल्डाइट,migrated_from_domain_dictionary
379,Tools,kela thoko,कील ठोको,migrated_from_domain_dictionary
380,Tools,screaw dalo,स्क्रू डालो,migrated_from_domain_dictionary
381,Tools,fashnar lagao,फ़ास्टनर लगाओ,migrated_from_domain_dictionary
382,Tools,rawl plg,रावल प्लग,migrated_from_domain_dictionary
383,Tools,silicon tub,सिलिकॉन ट्यूब,migrated_from_domain_dictionary
384,Safety,gam boot,गम बूट,migrated_from_domain_dictionary
385,Safety,safty baelt,सेफ्टी बेल्ट,migrated_from_domain_dictionary
386,Safety,halmet pheno,हेलमेट पहनो,migrated_from_domain_dictionary
387,Tools,bhindng taar,बाइंडिंग तार,migrated_from_domain_dictionary
388,Tools,kaanti lana,कांटी लाना,migrated_from_domain_dictionary
389,Tools,paayp rinch,पाइप रिंच,migrated_from_domain_dictionary
390,General,jugar banao,जुगाड़ बनाओ,migrated_from_domain_dictionary
391,Tools,machine garam,मशीन गरम,migrated_from_domain_dictionary
392,Tools,blade toot gai,ब्लेड टूट गई,migrated_from_domain_dictionary
393,Tools,bit ghis gai,बिट घिस गई,migrated_from_domain_dictionary
394,Tools,oil dalo,ऑइल डालो,migrated_from_domain_dictionary
395,Tools,paana slip,पाना स्लिप,migrated_from_domain_dictionary
396,Tools,grease lagao,ग्रीस लगाओ,migrated_from_domain_dictionary
397,Tools,chakka ghumao,चक्का घुमाओ,migrated_from_domain_dictionary
398,Tools,farma kaso,फर्मा कसो,migrated_from_domain_dictionary
399,Tools,clamp lagao,क्लैंप लगाओ,migrated_from_domain_dictionary
400,Tools,tarpaal dhako,तिरपाल ढको,migrated_from_domain_dictionary
401,Sanitary,vas basin,वॉश बेसिन,migrated_from_domain_dictionary
402,Sanitary,pedstal basin,पेडस्टल बेसिन,migrated_from_domain_dictionary
403,Sanitary,comod sheet,कमोड सीट,migrated_from_domain_dictionary
404,Sanitary,indian sheet,इंडियन सीट,migrated_from_domain_dictionary
405,Sanitary,flas tank,फ्लश टैंक,migrated_from_domain_dictionary
406,Sanitary,cansil fllas,कंसील फ्लश,migrated_from_domain_dictionary
407,Sanitary,hel faset,हेल्थ फॉसेट,migrated_from_domain_dictionary
408,Sanitary,jait sapre,जेट स्प्रे,migrated_from_domain_dictionary
409,Sanitary,pishab khana,यूरिनल,migrated_from_domain_dictionary
410,Sanitary,shavar set,शावर सेट,migrated_from_domain_dictionary
411,Sanitary,divatar bal,डायवर्टर वाल्व,migrated_from_domain_dictionary
412,Sanitary,toti lagani,टोंटी लगानी,migrated_from_domain_dictionary
413,Sanitary,pikak tap,पीकॉक टैप,migrated_from_domain_dictionary
414,Sanitary,sing nipal,सिंक निप्पल,migrated_from_domain_dictionary
415,Sanitary,aengal val,एंगल वाल्व,migrated_from_domain_dictionary
416,Sanitary,salvant lagao,सॉल्वेंट लगाओ,migrated_from_domain_dictionary
417,Sanitary,c pvc fiting,CPVC फिटिंग,migrated_from_domain_dictionary
418,Sanitary,t brahnch,टी ब्रांच,migrated_from_domain_dictionary
419,Sanitary,albo lagao,एल्बो लगाओ,migrated_from_domain_dictionary
420,Sanitary,shoket se jodo,सॉकेट से जोड़ो,migrated_from_domain_dictionary
421,Sanitary,redusar dal,रिड्यूसर डाल,migrated_from_domain_dictionary
422,Sanitary,and cap,एंड कैप,migrated_from_domain_dictionary
423,Sanitary,nani trap,नाहनी ट्रैप,migrated_from_domain_dictionary
424,Sanitary,p trap dalo,P-ट्रैप डालो,migrated_from_domain_dictionary
425,Sanitary,jali lagao,जाली लगाओ,migrated_from_domain_dictionary
426,Sanitary,sypon kharab,साइफन खराब,migrated_from_domain_dictionary
427,Sanitary,wotar miter,वाटर मीटर,migrated_from_domain_dictionary
428,Sanitary,bal val,बॉल वाल्व,migrated_from_domain_dictionary
429,Sanitary,floot val,फ्लोट वाल्व,migrated_from_domain_dictionary
430,Sanitary,aurfelo pip,ओवरफ्लो पाइप,migrated_from_domain_dictionary
431,Sanitary,eyar pip,एयर पाइप,migrated_from_domain_dictionary
432,Sanitary,chok ap,चोक अप,migrated_from_domain_dictionary
433,Sanitary,likage hai,लीकेज है,migrated_from_domain_dictionary
434,Sanitary,wotar parsher,वाटर प्रेशर,migrated_from_domain_dictionary
435,Sanitary,buma pump,बूस्टर पंप,migrated_from_domain_dictionary
436,Sanitary,samrsible motor,सबमर्सिबल मोटर,migrated_from_domain_dictionary
437,Sanitary,motar fukh gai,मोटर फुंक गई,migrated_from_domain_dictionary
438,Sanitary,bor kara lo,बोर करा लो,migrated_from_domain_dictionary
439,Sanitary,swarej lain,सीवरेज लाइन,migrated_from_domain_dictionary
440,Sanitary,chambar bnao,चेंबर बनाओ,migrated_from_domain_dictionary
441,Sanitary,gatar gass,गटर गैस,migrated_from_domain_dictionary
442,Sanitary,spitik tank,सेप्टिक टैंक,migrated_from_domain_dictionary
443,Sanitary,sok pit,सोक पिट,migrated_from_domain_dictionary
444,Sanitary,mangalur tails,मैंगलोर टाइल्स,migrated_from_domain_dictionary
445,Sanitary,grutting,ग्राउटिंग,migrated_from_domain_dictionary
446,Sanitary,spaisar dalo,स्पेसर डालो,migrated_from_domain_dictionary
447,Sanitary,watr prufinger,वाटरप्रूफिंग,migrated_from_domain_dictionary
448,Sanitary,chemcal lagao,केमिकल लगाओ,migrated_from_domain_dictionary
449,Sanitary,sintex pip,सिंटेक्स पाइप,migrated_from_domain_dictionary
450,Sanitary,plmabar aaya,प्लंबर आया,migrated_from_domain_dictionary
451,Management,bhaada bandho,भाड़ा बांधो,migrated_from_domain_dictionary
452,Management,bally lagao,बल्ली लगाओ,migrated_from_domain_dictionary
453,Management,paat daalo,पाट डालो,migrated_from_domain_dictionary
454,Management,gaara banao,गारा बनाओ,migrated_from_domain_dictionary
455,Management,jhol aa gaya,झोल आ गया,migrated_from_domain_dictionary
456,Management,dhalaan de do,ढलान दे दो,migrated_from_domain_dictionary
457,Management,munshi saheb,मुंशी साहब,migrated_from_domain_dictionary
458,Management,beldaar bulao,बेलदार बुलाओ,migrated_from_domain_dictionary
459,Management,mistri lagao,मिस्त्री लगाओ,migrated_from_domain_dictionary
460,Management,theka cancel,ठेका कैंसिल,migrated_from_domain_dictionary
461,Management,rate tya karo,रेट तय करो,migrated_from_domain_dictionary
462,Management,kharcha paani,खर्चा पानी,migrated_from_domain_dictionary
463,Management,jcb bhada,JCB भाड़ा,migrated_from_domain_dictionary
464,Management,malba fiko,मलबा फेंको,migrated_from_domain_dictionary
465,Management,naksha pass,नक्शा पास,migrated_from_domain_dictionary
466,Management,t a c planning,T&C प्लानिंग,migrated_from_domain_dictionary
467,Management,jugaad bithao,जुगाड़ बिठाओ,migrated_from_domain_dictionary
468,Management,site incharge,साइट इंचार्ज,migrated_from_domain_dictionary
469,Management,chakri chalao,चकरी चलाओ,migrated_from_domain_dictionary
470,Management,rasa bandho,रस्सा बांधो,migrated_from_domain_dictionary
471,Management,dhokha mat dena,धोखा मत देना,migrated_from_domain_dictionary
472,Management,chutti le li,छुट्टी ले ली,migrated_from_domain_dictionary
473,Management,hajri register,हाज़िरी रजिस्टर,migrated_from_domain_dictionary
474,Management,otat karwao,ओवरटाइम करवाओ,migrated_from_domain_dictionary
475,Management,dihaadi badhao,दिहाड़ी बढ़ाओ,migrated_from_domain_dictionary
476,Management,khuraak do,खुराक दो,migrated_from_domain_dictionary
477,Management,kaam band hai,काम बंद है,migrated_from_domain_dictionary
478,Management,supply chalu,सप्लाई चालू,migrated_from_domain_dictionary
479,Management,challan kaato,चालान काटो,migrated_from_domain_dictionary
480,Management,tol kaata,तोल कांटा,migrated_from_domain_dictionary
481,Management,ginti me kam,गिनती में कम,migrated_from_domain_dictionary
482,Management,quality kharab,क्वालिटी खराब,migrated_from_domain_dictionary
483,Management,reja lagao,रेजा लगाओ,migrated_from_domain_dictionary
484,Management,farma fado,फर्मा फाड़ो,migrated_from_domain_dictionary
485,Management,chokidar rakh,चौकीदार रख,migrated_from_domain_dictionary
486,Management,pani chidak,पानी छिड़क,migrated_from_domain_dictionary
487,Management,chuna daal,चूना डाल,migrated_from_domain_dictionary
488,Management,leval milao,लेवल मिलाओ,migrated_from_domain_dictionary
489,Management,bharai karwao,भराई करवाओ,migrated_from_domain_dictionary
490,Management,setling ho gai,सेटलिंग हो गई,migrated_from_domain_dictionary
491,Management,bhoomipujan,भूमिपूजन,migrated_from_domain_dictionary
492,Management,murat nikal,मुहूर्त निकाल,migrated_from_domain_dictionary
493,Management,mithai baato,मिठाई बांटो,migrated_from_domain_dictionary
494,Management,paisa fasa hai,पैसा फंसा है,migrated_from_domain_dictionary
495,Management,bill bnao,बिल बनाओ,migrated_from_domain_dictionary
496,Management,sqf me nap,स्क्वायर फ़ीट में नाप,migrated_from_domain_dictionary
